GEO_ID,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,Shape_Length,Shape_Area,CensusTract,FinalTract,geo,Census_Tract,Total_Population,California_County,ZIP,Approximate_Location,Longitude,Latitude,CES_4_0_Score,CES_4_0_Percentile,CES_4_0_Percentile_Range,Ozone,Ozone_Pctl,PM2_5,PM2_5_Pctl,Diesel_PM,Diesel_PM_Pctl,Drinking_Water,Drinking_Water_Pctl,Lead,Lead_Pctl,Pesticides,Pesticides_Pctl,Tox__Release,Tox__Release_Pctl,Traffic,Traffic_Pctl,Cleanup_Sites,Cleanup_Sites_Pctl,Groundwater_Threats,Groundwater_Threats_Pctl,Haz__Waste,Haz__Waste_Pctl,Imp__Water_Bodies,Imp__Water_Bodies_Pctl,Solid_Waste,Solid_Waste_Pctl,Pollution_Burden,Pollution_Burden_Score,Pollution_Burden_Pctl,Asthma,Asthma_Pctl,Low_Birth_Weight,Low_Birth_Weight_Pctl,Cardiovascular_Disease,Cardiovascular_Disease_Pctl,Education,Education_Pctl,Linguistic_Isolation,Linguistic_Isolation_Pctl,Poverty,Poverty_Pctl,Unemployment,Unemployment_Pctl,Housing_Burden,Housing_Burden_Pctl,Pop__Char_,Pop__Char__Score,Pop__Char__Pctl,ObjectID
1400000US06037102107,06,037,102107,1021.07,Tract,4.984000000000000,19305.674203617934836,12948041.128837576135993,,06037102107,6037102107.000000000000000,6037102107.000000000000000,4349.000000000000000,Los Angeles,91040.000000000000000,Los Angeles,-118.339515800000001,34.240905499999997,34.950000000000003,67.459999999999994,65-70%,0.065000000000000,93.849999999999994,11.141470630000001,56.100000000000001,0.037000000000000,13.240000000000000,726.639999999999986,83.129999999999995,50.189999999999998,51.820000000000000,0.000000000000000,9.240000000000000,875.716328900000008,61.840000000000003,1594.259504999999990,80.000000000000000,4.000000000000000,37.549999999999997,0.300000000000000,2.110000000000000,0.955000000000000,84.590000000000003,6.000000000000000,58.689999999999998,8.800000000000001,88.040000000000006,55.500000000000000,6.780000000000000,83.290000000000006,43.210000000000001,46.350000000000001,6.780000000000000,87.489999999999995,9.500000000000000,25.500000000000000,10.300000000000001,43.070000000000000,1.2,8.49,27.899999999999999,50.399999999999999,5.900000000000000,56.189999999999998,22.800000000000001,73.409999999999997,49.710000000000001,5.160000000000000,49.850000000000001,2582
1400000US06037106113,06,037,106113,1061.13,Tract,0.555000000000000,6202.888089235952975,1496484.901072496315464,,06037106113,6037106113.000000000000000,6037106113.000000000000000,3697.000000000000000,Los Angeles,91342.000000000000000,Los Angeles,-118.422236499999997,34.306179200000003,36.090000000000003,69.299999999999997,65-70%,0.069000000000000,97.599999999999994,10.925879150000000,54.250000000000000,0.278000000000000,74.040000000000006,726.639999999999986,83.129999999999995,42.049999999999997,39.909999999999997,0.000000000000000,0.000000000000000,452.345998099999974,49.640000000000001,1585.200139000000036,79.799999999999997,3.000000000000000,31.239999999999998,0.000000000000000,0.000000000000000,0.360000000000000,57.460000000000001,0.000000000000000,0.000000000000000,1.000000000000000,35.719999999999999,48.159999999999997,5.880000000000000,65.510000000000005,63.979999999999997,73.290000000000006,6.610000000000000,85.170000000000002,13.449999999999999,57.130000000000003,25.100000000000001,73.420000000000002,5.5,40.44,24.199999999999999,42.899999999999999,4.800000000000000,41.840000000000003,14.100000000000000,33.700000000000003,59.159999999999997,6.140000000000000,64.260000000000005,2436
1400000US06037106648,06,037,106648,1066.48,Tract,0.306000000000000,3946.648769779810664,807595.306426751660183,,06037106648,6037106648.000000000000000,6037106648.000000000000000,4546.000000000000000,Los Angeles,91342.000000000000000,Los Angeles,-118.455834499999995,34.293098299999997,40.460000000000001,75.790000000000006,75-80%,0.067000000000000,97.000000000000000,11.152776680000001,56.320000000000000,0.281000000000000,74.310000000000002,726.639999999999986,83.129999999999995,77.060000000000002,86.599999999999994,0.000000000000000,0.000000000000000,624.224680600000056,55.890000000000001,607.750830700000051,29.059999999999999,0.100000000000000,2.070000000000000,11.250000000000000,50.140000000000001,1.295000000000000,88.799999999999997,0.000000000000000,0.000000000000000,4.000000000000000,70.420000000000002,54.289999999999999,6.630000000000000,80.879999999999995,52.020000000000003,58.950000000000003,5.560000000000000,65.829999999999998,10.480000000000000,34.009999999999998,42.200000000000003,91.530000000000001,13.6,73.1,40.899999999999999,70.439999999999998,2.500000000000000,10.660000000000000,24.300000000000001,78.109999999999999,58.850000000000001,6.100000000000000,63.729999999999997,1921
1400000US06037108202,06,037,108202,1082.02,Tract,2.315000000000000,11000.214483698220647,6010134.559099648147821,,06037108202,6037108202.000000000000000,6037108202.000000000000000,7487.000000000000000,Los Angeles,91326.000000000000000,Los Angeles,-118.579680600000003,34.286095000000003,22.620000000000001,43.549999999999997,40-45%,0.064000000000000,91.049999999999997,10.512872740000001,52.420000000000002,0.060000000000000,21.850000000000001,726.639999999999986,83.129999999999995,13.449999999999999,6.280000000000000,0.120000000000000,26.899999999999999,89.736300130000004,22.520000000000000,3938.792051999999785,98.609999999999999,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.225000000000000,39.770000000000003,0.000000000000000,0.000000000000000,0.500000000000000,22.079999999999998,37.689999999999998,4.600000000000000,36.380000000000003,24.410000000000000,15.420000000000000,5.790000000000000,70.810000000000002,12.470000000000001,50.219999999999999,6.800000000000000,29.300000000000001,23.3,90.58,10.199999999999999,10.720000000000001,5.200000000000000,46.990000000000002,21.500000000000000,68.939999999999998,47.390000000000001,4.920000000000000,46.329999999999998,4479
1400000US06037109601,06,037,109601,1096.01,Tract,0.855000000000000,6113.436378933932247,2256167.428670584224164,,06037109601,6037109601.000000000000000,6037109601.000000000000000,4945.000000000000000,Los Angeles,91345.000000000000000,Los Angeles,-118.449533299999999,34.259315700000002,30.680000000000000,60.060000000000002,60-65%,0.067000000000000,97.000000000000000,11.391276670000000,59.020000000000003,0.186000000000000,59.630000000000003,726.639999999999986,83.129999999999995,62.479999999999997,69.150000000000006,0.000000000000000,0.000000000000000,606.933659899999952,55.180000000000000,1974.184250999999904,86.680000000000007,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.105000000000000,16.879999999999999,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,43.609999999999999,5.320000000000000,53.070000000000000,52.759999999999998,59.950000000000003,6.630000000000000,85.459999999999994,11.390000000000001,41.240000000000002,20.100000000000001,65.030000000000001,9.4,59.37,19.899999999999999,33.979999999999997,7.900000000000000,74.739999999999995,9.300000000000001,11.240000000000000,55.539999999999999,5.760000000000000,58.670000000000002,3169
1400000US06037111100,06,037,111100,1111,Tract,0.409000000000000,4129.979249013365006,1052289.176720795687288,,06037111100,6037111100.000000000000000,6037111100.000000000000000,3179.000000000000000,Los Angeles,91344.000000000000000,Los Angeles,-118.495069400000006,34.268309899999998,31.489999999999998,61.490000000000002,60-65%,0.067000000000000,97.000000000000000,11.419259940000000,59.609999999999999,0.102000000000000,37.899999999999999,726.639999999999986,83.129999999999995,64.890000000000001,72.670000000000002,0.000000000000000,0.000000000000000,484.374499000000014,50.909999999999997,2039.576487999999927,87.680000000000007,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.320000000000000,52.640000000000001,3.000000000000000,33.159999999999997,0.000000000000000,0.000000000000000,46.460000000000001,5.670000000000000,60.850000000000001,52.539999999999999,59.630000000000003,4.860000000000000,48.539999999999999,13.580000000000000,57.890000000000001,17.699999999999999,60.909999999999997,6.7,47.08,20.600000000000001,35.570000000000000,6.100000000000000,58.359999999999999,18.500000000000000,56.479999999999997,53.520000000000003,5.550000000000000,55.299999999999997,3056
1400000US06037113212,06,037,113212,1132.12,Tract,0.386000000000000,4297.145879093998701,1000360.223393163993023,,06037113212,6037113212.000000000000000,6037113212.000000000000000,3494.000000000000000,Los Angeles,91311.000000000000000,Los Angeles,-118.602431300000006,34.260686900000003,22.989999999999998,44.479999999999997,40-45%,0.062000000000000,88.700000000000003,10.612598699999999,52.820000000000000,0.448000000000000,87.370000000000005,726.639999999999986,83.129999999999995,33.990000000000002,29.210000000000001,0.000000000000000,0.000000000000000,118.359303800000006,25.340000000000000,626.500707400000010,30.309999999999999,4.500000000000000,40.840000000000003,0.000000000000000,0.000000000000000,0.135000000000000,23.719999999999999,0.000000000000000,0.000000000000000,0.200000000000000,9.670000000000000,38.020000000000003,4.640000000000000,37.460000000000001,54.030000000000001,61.570000000000000,4.620000000000000,41.719999999999999,17.219999999999999,77.189999999999998,10.800000000000001,44.649999999999999,5.2,38.61,16.399999999999999,25.430000000000000,4.200000000000000,33.579999999999998,14.199999999999999,34.250000000000000,47.729999999999997,4.950000000000000,46.890000000000001,4405
1400000US06037113233,06,037,113233,1132.33,Tract,0.442000000000000,5059.689174196882050,1157619.159557443577796,,06037113233,6037113233.000000000000000,6037113233.000000000000000,7345.000000000000000,Los Angeles,91304.000000000000000,Los Angeles,-118.601220299999994,34.226962100000001,44.829999999999998,81.780000000000001,80-85%,0.061000000000000,84.579999999999998,11.184940890000000,56.640000000000001,0.303000000000000,76.760000000000005,726.639999999999986,83.129999999999995,63.820000000000000,71.390000000000001,0.000000000000000,0.000000000000000,422.055328400000008,48.170000000000002,959.663138000000004,55.640000000000001,5.000000000000000,42.609999999999999,22.750000000000000,71.909999999999997,0.880000000000000,83.079999999999998,0.000000000000000,0.000000000000000,2.200000000000000,54.850000000000001,56.520000000000003,6.900000000000000,85.340000000000003,50.820000000000000,57.680000000000000,4.860000000000000,48.539999999999999,12.039999999999999,46.320000000000000,16.699999999999999,59.109999999999999,18.1,83.56,45.799999999999997,77.200000000000003,5.900000000000000,56.189999999999998,34.700000000000003,95.870000000000005,62.619999999999997,6.500000000000000,69.680000000000007,1446
1400000US06037113301,06,037,113301,1133.01,Tract,0.876000000000000,6856.024828413334035,2270504.369324642699212,,06037113301,6037113301.000000000000000,6037113301.000000000000000,3509.000000000000000,Los Angeles,91324.000000000000000,Los Angeles,-118.558342900000000,34.244042700000001,31.699999999999999,61.829999999999998,60-65%,0.064000000000000,91.049999999999997,11.948312769999999,75.629999999999995,0.100000000000000,37.409999999999997,726.639999999999986,83.129999999999995,49.329999999999998,50.710000000000001,0.000000000000000,0.000000000000000,537.658002200000055,52.979999999999997,1259.888850000000048,71.129999999999995,1.750000000000000,22.620000000000001,13.000000000000000,54.520000000000003,0.205000000000000,35.979999999999997,3.000000000000000,33.159999999999997,0.200000000000000,9.670000000000000,48.899999999999999,5.970000000000000,67.469999999999999,50.670000000000002,57.539999999999999,2.130000000000000,2.490000000000000,14.340000000000000,62.409999999999997,10.000000000000000,41.850000000000001,12.2,69.22,22.100000000000001,38.570000000000000,7.500000000000000,71.670000000000002,27.800000000000001,86.430000000000007,51.180000000000000,5.310000000000000,52.270000000000003,3029
1400000US06037113321,06,037,113321,1133.21,Tract,0.405000000000000,4161.625895075168955,1046586.019153932807967,,06037113321,6037113321.000000000000000,6037113321.000000000000000,6180.000000000000000,Los Angeles,91311.000000000000000,Los Angeles,-118.591839199999995,34.253353900000000,39.710000000000001,74.549999999999997,70-75%,0.062000000000000,88.700000000000003,10.995114700000000,54.899999999999999,0.120000000000000,43.420000000000002,726.639999999999986,83.129999999999995,37.520000000000003,33.770000000000003,0.000000000000000,0.000000000000000,182.401603700000010,32.899999999999999,1066.330034999999953,62.100000000000001,23.899999999999999,85.180000000000007,0.000000000000000,0.000000000000000,1.315000000000000,89.010000000000005,0.000000000000000,0.000000000000000,1.000000000000000,35.719999999999999,47.240000000000002,5.770000000000000,62.869999999999997,54.030000000000001,61.570000000000000,6.550000000000000,84.150000000000006,17.219999999999999,77.189999999999998,8.000000000000000,34.380000000000003,6.5,46,26.600000000000001,47.750000000000000,11.500000000000000,91.120000000000005,22.699999999999999,72.980000000000004,66.379999999999995,6.890000000000000,74.920000000000002,2020
