"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",1.1997101407572,0.0317879182502849,37.7410729230892,1.79271500398135e-273,1.13739138474397,1.26202889677042
"Traffic",4.1048592553899e-05,2.08511901725566e-05,1.96864506122654,0.0490508288428911,1.70790405365873e-07,8.19263947024322e-05
